Last Date,Location,Total Hours,Total IVT,Max IVT,Total Precip,Avg. Direction,Return Period,1h ARI,3h ARI,6h ARI,12h ARI,1d ARI,Impact Level,Impact dates,Impact,Impact Information,Location,Impact Source,Notes,Wick Precip,Wick Return
20210626_00Z     ,AHNA2,60,2802.05,621.41,,221.822,,,,,,,2,06/30/2021,Moderate flood stage;,Chilkat at its highest crest,AHNA2,AHPS,Followed by another ar on the 27th,,
20210626_00Z     ,HCSA2,60,2660.08,606.8,,220.094,,,,,,,2,06/29/2021,Moderate flood stage;,Chilkat at its highest crest,HCSA2,AHPS,26 had the 23rd highes ivt,NA,
20210625_12Z     ,PAWG,36,1529.93,625.5,,244.52,,,,,,,0,06/29/2021,Action stage,Stikine river at 5th highest crest,PAWG,,Might not be for this event. This data is for 4 days before,,
20210602_12Z,PAKT,48,1984.83,634.53,3.45,198.6725,,1,1,1,1,1,0,06/05/2021,Action flooding,Lower ketchikan lake at 7th most overflow,PAKT,AHPS,,,
20210602_12Z     ,KTNA2,48,1929.45,599.26,,201.995,,,,,,,0,06/05/2021,Action flooding,Lower ketchikan lake at 7th most overflow,KTNA2,AHPS,,,
20201206_00Z,PAKT,48,1880.52,605.85,8.85,189.025,,1,1,1,1,1,2,12/05/2020,moderate flood stage/flood stage,"Lower ketchikan lake at 2nd highest overflow, Ketchikan creek at highest, Fish creek at 20th highest",PAKT,"AHPS, APRFC",,,
20201206_00Z     ,KTNA2,48,1694.7,518.85,,191.8925,,,,,,,2,12/05/2020,moderate flood stage/flood stage,"Lower ketchikan lake at 2nd highest overflow, Ketchikan creek at highest, Fish creek at 20th highest",KTNA2,"AHPS, APRFC",right after another ar on the 2nd,,
20201202_12Z,PAHN,36,1501.13,550.94,6.36,195.15,,5,10,25,100,200,5,12/02/2020,"Mudslides, Flooding","IN Haines, same 100-200 year storm, 2 fatalities, 20.3 Million in damage, 24 hour precipitation of 6.62, breaking records, at haines airport total rainfall recorded was 10.26 inches in 48 hours, roads at base of ripinski road eroded, significant infrastructure damage to all roads in this area, many roads impassable or washed away by erosion, 4 ft of water in RV parking lot, flooding at airport cutting flights, slides that blocked roads, blocked from canada by debris flow on haines highway, debris flow on lutak road damaging lutak fuel dock, some homes were significantly damaged on lutak road. Mud bay rd was blocked by debris flow. Avalanche on Chilkat lake damaged home. REsidents evacuated. MAssive landslide beach road destroyed 2 homes, 2 people perished, declared disaster, 2 homes destroyed, 16 minor damage homes, 7 homes with major damage",PAHN,NWS,Bad widespread ar,1st highest precip in haines,
20201202_12Z     ,PAGS,36,1754.42,606.3,,197.8933333,,,,,,,4,12/02/2020,Moderate flood stage,"Salmon river at highest crest; minor rainfall event, flooding in gustavus in the rink creek and salmon areas, record water flow on salmon river, roads flooded near river, hardest hit were rink creek rd, wilson rd, and toad rd near salmon river. Salmon river crested at 17.26 ft. city declared disaster as homes were damaged along with road infrastructure causing 250K in damage overflowing poor drainage areas, around 6.43 inches of rain over past 3 days",PAGS,"APRFC, AHPS, NWS",,NA,
20201202_12Z,JNNA2,36,1847.7,684.63,,196.7466667,,,,,,,3,12/02/2020,"Flooding, moderate flood stage","Jordan creek at highest crest;  in Juneau 24 hour precipitation of 4.93 inches 100 year event, 48 total of 6.39 inches, most streams rose rapidly, Jordan Creek crested at 11.2 feet, jordan square flooded, roads near jordan ave, cascade, trout, and glacier highway all flooded significantly, debris flow damaged homes, blocked homes, overwhelmed culverts that damaged roads. Residencies on Vanderbilt hill had multiple debris flow, debris flow on lower and upper salmon creek road damaging the penstock that brings water from the reservoir to treatment plant and power plant impacting the commercial fisheries that use this water, debris flow along wire st. damaging homes and blocking glacier highway, juneau declared disaster, one of the most impactful flooding and debris flow events in recent memory",JNNA2,"WFO, NWS, HYDRO, APRFC",Widespread serious event,,
20201202_12Z,PAJN,36,1850.1,679.93,6.28,195.0166667,,2,2,5,25,100,5,12/01/2020,"Flooding, debris flow, landslide, moderate flooding","in Juneau 24 hour precipitation of 4.93 inches, 100 uear event, 48 total of 6.39 inches, most streams rose rapidly, Jordan Creek crested at 11.2 feet, jordan square flooded, roads near jordan ave, cascade, trout, and glacier highway all flooded significantly, debris flow damaged homes, blocked homes, overwhelmed culverts that damaged roads. Residencies on Vanderbilt hill had multiple debris flow, debris flow on lower and upper salmon creek road damaging the penstock that brings water from the reservoir to treatment plant and power plant impacting the commercial fisheries that use this water, debris flow along wire st. damaging homes and blocking glacier highway, juneau declared disaster, one of the most impactful flooding and debris flow events in recent memory. In all areas affected (all over panhandle) it amounted to 8.1 Million in damage. Jordan creek at its highest crest.",PAJN,"WFO, NWS, HYDRO",Widespread strong AR,,
20201202_12Z,PAGY,36,1584.25,588.11,4.39,195.57,,2,5,10,10,25,5,12/01/2020,"Flood, landslide","landslides in Haines. 100-200 year storm, 2 fatalities, 20.3 Million in damage, 24 hour precipitation of 6.62, breaking records, at haines airport total rainfall recorded was 10.26 inches in 48 hours, roads at base of ripinski road eroded, significant infrastructure damage to all roads in this area, many roads impassable or washed away by erosion, 4 ft of water in RV parking lot, flooding at airport cutting flights, slides that blocked roads, blocked from canada by debris flow on haines highway, debris flow on lutak road damaging lutak fuel dock, some homes were significantly damaged on lutak road. Mud bay rd was blocked by debris flow. Avalanche on Chilkat lake damaged home. REsidents evacuated. MAssive landslide beach road destroyed 2 homes, 2 people perished, declared disaster, 2 homes destroyed, 16 minor damage homes, 7 homes with major damage. IN skagway,  1.4Million in damage, , 7.5 inches in 2 days in dyea, taiya river rose 4.5 feet, COOp in skagway reported 9.92 inches in 3 days, debris flows blacked dyea road cutting off from skagway",PAGY,"NWS, APRFC, WFO",1st highest precipitation day ,,
20201202_12Z     ,HCSA2,36,1359.69,489.33,,196.4533333,,,,,,,5,12/01/2020,"Flood, landslide","landslides in Haines. 100-200 year storm, 2 fatalities, 20.3 Million in damage, 24 hour precipitation of 6.62, breaking records, at haines airport total rainfall recorded was 10.26 inches in 48 hours, roads at base of ripinski road eroded, significant infrastructure damage to all roads in this area, many roads impassable or washed away by erosion, 4 ft of water in RV parking lot, flooding at airport cutting flights, slides that blocked roads, blocked from canada by debris flow on haines highway, debris flow on lutak road damaging lutak fuel dock, some homes were significantly damaged on lutak road. Mud bay rd was blocked by debris flow. Avalanche on Chilkat lake damaged home. REsidents evacuated. MAssive landslide beach road destroyed 2 homes, 2 people perished, declared disaster, 2 homes destroyed, 16 minor damage homes, 7 homes with major damage. IN skagway,  1.4Million in damage, , 7.5 inches in 2 days in dyea, taiya river rose 4.5 feet, COOp in skagway reported 9.92 inches in 3 days, debris flows blacked dyea road cutting off from skagway",HCSA2,"NWS, APRFC, WFO","Huge AR event, widespreat, devestating",NA,
20201202_12Z     ,AHNA2,36,1584.25,588.11,,195.57,,,,,,,5,12/01/2020,"Flood, landslide","landslides in Haines. 100-200 year storm, 2 fatalities, 20.3 Million in damage, 24 hour precipitation of 6.62, breaking records, at haines airport total rainfall recorded was 10.26 inches in 48 hours, roads at base of ripinski road eroded, significant infrastructure damage to all roads in this area, many roads impassable or washed away by erosion, 4 ft of water in RV parking lot, flooding at airport cutting flights, slides that blocked roads, blocked from canada by debris flow on haines highway, debris flow on lutak road damaging lutak fuel dock, some homes were significantly damaged on lutak road. Mud bay rd was blocked by debris flow. Avalanche on Chilkat lake damaged home. REsidents evacuated. MAssive landslide beach road destroyed 2 homes, 2 people perished, declared disaster, 2 homes destroyed, 16 minor damage homes, 7 homes with major damage. IN skagway,  1.4Million in damage, , 7.5 inches in 2 days in dyea, taiya river rose 4.5 feet, COOp in skagway reported 9.92 inches in 3 days, debris flows blacked dyea road cutting off from skagway",AHNA2,"NWS, APRFC, WFO",,,
,HOOA2,,,,,,,,,,,,4,12/01/2020,"Landslide, flooding, erosion","Landslides in Hoonah area; Hoonah observed 8.74 inches of rain in 2 days, a 100-200 year event, damage at hoonah water treatment plant by runoff and debris. Extensive damage to roads and culverts from erosion and debris on roadways. Disaster declared ",HOOA2,NWS,widespread serious ar,,
20201202_12Z,PAKW,36,1925.35,682.61,,198.22,,1,1,1,1,1,2,12/01/2020,Landslides,landslides across POW,PAKW,"WFO, NWS, HYDRO",This is not in the AR database but was a widespread event,,
20201202_12Z,PAKT,36,1646.37,605.08,4.53,200.8533333,,1,1,1,1,1,2,12/01/2020,flood stage,"Ketichkan creek at 2nd most overflow, lower ketchikan lake at 4th most overflow",PAKT,AHPS,*,,
20201202_12Z,PASI,36,2215.64,884.66,1.22,198.24,,1,1,1,2,2,2,12/01/2020,landslides; heavy rain,Landslides after strong widespread ar event,PASI,"WFO, NWS, HYDRO",widespread; the 2nd had the 8th highest ivt,,
20201202_12Z     ,PAWG,36,1646.94,559.4,,202.6633333,,,,,,,0,12/1/2020,No reported impact near wrangell,No reported impact near wrangell but big ar event,PAWG,"WFO, NWS, APRFC",,,
20201129_12Z,PAKW,24,716.63,438.28,,209.58,,1,1,1,1,1,1,11/29/2020,Flood stage,5th highest flood of THorne River,PAKW,AHPS,This is not in the AR database,,
20201102_12Z     ,,48,1983.46,647.83,,210.565,,,,,,,1,11/02/2020,Flooding,Gauge reports large water level rises from heavy rain causing impacts in petersburg (no detail on impact),,APRFC,widespread and serious ar event,,
20201102_12Z,PAKW,48,2364.19,846.61,3.41,212.5675,,1,1,1,1,1,4,11/01/2020,"flooding, debris flow, landslide, flood stage","200k of damage in Craig, rain about 3.5 inches in 36 hours, mudslides, debris flow above port st. nicholas road, blocked single lane road to a subdivision with mud, trees and other debris, this blocked the road going to craig, Thorne River at 4th highest overflow",PAKW,NWS,23rd highest ivt on the 2nd,,???
20201102_12Z,PASI,48,1816.81,592.71,4.19,211.0975,,2,2,2,1,1,3,11/01/2020,Flood stage; debris flow; damage of dam,"Indian river at 13th highest crest. extensive flooding of indian river Sitka causing damage to dam and fresh water diversion for science center, damage to dam and road to water intake was washed, at hatchery filters were overrun burned out and destroyed motors and pumps. 3.5 K in damage, Minor flooding of picnic and trails. Landslides in other areas",PASI,"AHPS, APRFC, NWS, HYDRO",Widspread,,
20201103_00Z,PAKT,60,3005.28,922.99,10.06,208.68,,2,2,5,5,2,2,11/01/2020,"Flooding, moderate flood","Ketchikan creek at 4th most overflow, debris flow on sand dollar road, flooding around ward lake",PAKT,"APRFC, NWS, AHPS",The 2nd is the 6th highest precip and 12th highest ivt,,
20201103_00Z     ,KTNA2,60,2813.92,811.68,,210.626,,,,,,,2,11/01/2020,"Flooding, moderate flood","Ketchikan creek at 4th most overflow, debris flow on sand dollar road, flooding around ward lake",KTNA2,"APRFC, NWS, AHPS",,,
20201102_12Z     ,PAWG,48,2184.26,727.32,,210.805,,,,,,,0,11/01/2020,No reported impact near wrangell,No reported impact near wrangell but big ar event,PAWG,"NWS, APRFC, HYDRO",,,
20201027_12Z,PAKW,60,2199.84,654.99,4.29,267.112,,50,500,100,25,5,5,10/26/2020,"Flooding, debris flow, mudslide, action stage","Strong AR, 4.34 million in damage as storm spread over wester POW, impacting Craig, Klawock, Hollis, and the sorounding creeks. Klawock reported 3.6 inches in 24 hours, widespread debris flow that blocked forest roads, main highways near black bear creek, between klawock and hollis, and port saint nicholas road near craig, water treatment plant in klawock was shut down as the reservoir was overflowing and debris clogged intake pipes, disaster declaration in Craig",PAKW,NWS,the 27th had the second highest precip,,
20201027_12Z,PAKT,48,1955.71,772.95,1.87,265.125,,1,1,1,1,1,4,10/26/2020,Flooding and landslides,"Flooding and landslides on POW, widespread debris flow blocked forest roads, main hgihways near black bear creek, between klawock and hollis, and port saint nicholas road near craig. Water treatment lant in klawock was shut down as the reservoir was overflowing and debris clogged intake pipes, disaster decleration in Craig, 4.34 million in damage",PAKT,NWS,??? ARI?,,
20201027_12Z     ,KTNA2,48,1957.88,786.24,,264.545,,,,,,,4,10/26/2020,Flooding and landslides,"Flooding and landslides on POW, widespread debris flow blocked forest roads, main hgihways near black bear creek, between klawock and hollis, and port saint nicholas road near craig. Water treatment lant in klawock was shut down as the reservoir was overflowing and debris clogged intake pipes, disaster decleration in Craig, 4.34 million in damage",KTNA2,NWS,,,
20201027_00Z,PASI,36,1665.12,754.4,1.34,248.5433333,,5,10,5,1,1,1,10/26/2020,Flood stage,Indian river at 3rd highest crest,PASI,AHPS,,,
20201027_00Z     ,,36,1590.99,615.35,,258.4366667,,,,,,,0,10/26/2020,No recorded impacts in petersburg,No recorded impacts in petersburg,,,Widespread ar event especailly on POW,,
20200901_12Z,PAKT,24,1054.57,534.68,0.85,269.61,,1,1,1,1,1,1,08/29/2020,Lake flooding,Minor flooding of ward lake,PAKT,APRFC,possibly the right data ,,
20200901_12Z     ,KTNA2,24,1104.59,573.55,,268.885,,,,,,,1,08/29/2020,Lake flooding,Minor flooding of ward lake,KTNA2,APRFC,,,
20200817_12Z,PAKT,84,3844.93,869.66,5.64,204.1514286,,1,1,1,1,1,1,08/16/2020,Lake flooding,minor flooding of lake and trails and low lying areas,PAKT,,,,
20200817_12Z     ,KTNA2,84,3942.99,926.49,,204.2285714,,,,,,,1,08/16/2020,Lake flooding,minor flooding of lake and trails and low lying areas,KTNA2,,,,
20200810_00Z,JNNA2,24,730.45,416.83,,191.66,,,,,,,3,08/11/2020,Flooding; moderate flood stage,"Mendenhall at 14th highest crest; Montana creek at 32nd highest crest; heavy rains around juneau, IVT levels of 300-400, moderate flooding of mendenhall lake and river, back loop road, river crested at 10.2 ft, campground evacuated, skaters cabin flooded, back loop road, west glacier spur road flooded, view drive flooded, trails flooded",JNNA2,"NWS, AHPS",,,
20200810_00Z,PAJN,24,781.17,414.89,1.75,185.54,,1,1,1,1,1,2,08/11/2020,Flooding,"Heavy rains around juneau  IVT levels of 300-400, moderate flooding of mendenhall lake and river, back loop road, river crested at 10.2 ft, campground evacuated, skaters cabin flooded, back loop road, west glacier spur road flooded, view drive flooded, trails flooded,",PAJN,NWS,,,
,PAGY,,,,,,,1,1,1,1,1,1,08/10/2020,Flood stage,Taiya at its 43rd highest crest,PAGY,AHPS,,,
20200810_00Z,PASI,24,937.84,473.62,1.62,204.295,,1,1,1,1,1,0,08/10/2020,Action stage,Indian river at 16th highest crest,PASI,AHPS,,,
,JNNA2,,,,,,,,,,,,0,07/05/2020,Action stage,Taku at 12th highest crest,JNNA2,AHPS,MAY all be because of the GDL event,,
,PAKT,,,,,,,1,1,1,1,1,2,12/27/2019,Lake Flooding,"minor flooding at ward lake, trails and some campground inundated, signal creek flooded, ward cove area flooded. ",PAKT,ARDAT,,,
,KTNA2,,,,,,,,,,,,2,12/27/2019,Lake Flooding,"minor flooding at ward lake, trails and some campground inundated, signal creek flooded, ward cove area flooded. ",KTNA2,ARDAT,,,
20191123_00Z     ,KTNA2,24,849.1,443.36,,232.015,,,,,,,1,11/22/2019,Flood stage; action stage,Ketchikan creek at 3rd highest crest; Thorne river at 8th highest crest (action),KTNA2,AHPS,,,
20191123_00Z,PAKW,24,724.78,425.21,1.7,232.16,,1,1,NA,NA,1,0,11/22/2019,Action stage,Thorne River at 8th highest overflow,PAKW,AHPS,,,
20191117_00Z,PAJN,24,591.23,315.56,1.73,179.045,,1,1,1,1,1,0,11/17/2019,Action stage,Jordan Creek at 11th highest crest,PAJN,AHPS,,,
20191117_00Z,JNNA2,24,613.24,327.15,,181.82,,,,,,,0,11/17/2019,Action stage,Jordan creek at 11th highest crest,JNNA2,AHPS,,,
20191016_12Z,PAKT,48,1891.71,585.61,8.45,176.0475,,1,1,2,5,5,1,10/15/2019,Lake Flooding,"minor flooding at ward lake, some trails and campsites flooded",PAKT,APRFC,The 16th had the 27th highest precip,,
20191016_12Z     ,KTNA2,48,1707.65,532.71,,181.2675,,,,,,,1,10/15/2019,Lake Flooding,"minor flooding at ward lake, some trails and campsites flooded",KTNA2,APRFC,,,
20191006_12Z,JNNA2,24,786.97,513.8,,230.805,,,,,,,4,10/06/2019,FLooding; landslides; erosion,"Flooding all over juneau and douglas; douglas moderate rainfall, up to 6 inches of rain have fallen in last 18 hours, minor flooding near st. ann’s street, reports of landslides and flooding in downtown and douglas island area; Juneau floods, 637 K in damage,, strong winds heavy rain, localized flooding on small creeks and debris flow in downtown juneau and douglass, John street on Douglas island saw massive erosion when culverts were overwhelmed or blocked by debris, highly variable 24 hour precipitation, most rain in 6-12 hours, very anomalous event, thane road blocked by debris, major damage to alaska electric light and power’s flume system as a debris took out section of flume; Montana at the 27th highest crest",JNNA2,"NWS, APRFC, HYDRO",,,
20191006_12Z     ,PAGS,24,816.53,478.65,,241.96,,,,,,,3,10/06/2019,Flood stage,"Salmon River at 6th highest crest; douglas moderate rainfall, up to 6 inches of rain have fallen in last 18 hours, minor flooding near st. ann’s street, reports of landslides and flooding in downtown and douglas island area; Douglas island saw massive erosion when culverts were overwhelmed or blocked by debris, highly variable 24 hour precipitation, most rain in 6-12 hours, very anomalous event, thane road blocked by debris, major damage to alaska electric light and power’s flume system as a debris took out section of flume",PAGS,"AHPS, NWS",,NA,
,HOOA2,,,,,,,,,,,,0,10/06/2019,Nothing recorded in Hoonah,Nothing recorded in Hoonah only Gustavus and Juneau,HOOA2,,,,
,PAPG,,,,,,,,,,,,2,09/21/2019,Flooding,"Falls creek, petersburg crested at 22.7 ft flood stage is at 21.5, minor flooding over advisory area, flooding all in the area",PAPG,APRFC,widespread ar event,,
,JNNA2,,,,,,,,,,,,2,09/20/2019,Flood stage; flooding,Flooding over central panhandle; Mendenhall at 21st highest crest,JNNA2,AHPS,,,
,PASI,,,,,,,1,1,1,1,1,2,09/20/2019,Flood stage; flooding; mudslides,"Indian river at its 11th highest crest; Indian river crested 25.6 ft, flood is at 25.5 for indian river, one landslide report. Airport received 1.83 inches of rain. Sawmill creek 3.76 inches, CRN location 4.69 inches, don’t know about any more damage",PASI,"APRFC, AHPS",,,
,PAGY,,,,,,,1,1,1,1,1,2,09/20/2019,Moderate flood stage,"Taiya at its 13th highest crest, flooding of trails",PAGY,"AHPS, APRFC, HYDRO",RAin event primed soils day before; widespread ar,,
,PAJN,,,,,,,1,1,1,1,1,1,09/20/2019,Flood stage,Mendenhall at 21st highest crest,PAJN,AHPS,Widespread moderate to strong AR,,
,HCSA2,,,,,,,,,,,,0,07/03/2019,Action stage,Chilkat at 7th highest crest,HCSA2,AHPS,,NA,
,AHNA2,,,,,,,,,,,,0,07/03/2019,Action stage,Chilkat at 7th highest crest,AHNA2,AHPS,,,
,PAHN,,,,,,,1,NA,1,NA,1,0,07/03/2019,Action stage,Chilkat at 7th highest crest,PAHN,AHPS,,,
20190318_12Z,PAYA,24,1128.22,610.07,2.05,174.2,,1,1,1,1,1,0,03/18/2019,Action flooding,Situk was at its 9th highest overflow,PAYA,AHPS,This is not in the AR database,,
20190101,Thorne Bay/PAKW,,,,,,,1,1,1,1,1,2,01/01/2019,Landslide,"Large landslide on POW blocked South Thorne Bay/Kassan Road, triggered by heavy rain and rain on snow",Thorne Bay/PAKW,"NEWS, MD",,,
20181211_12Z,PAKT,24,775.85,454.33,,191.22,,1,1,1,1,1,0,12/09/2018,Action flooding,Ketchikan creek at 5th most overflow,PAKT,AHPS,,,
20181211_12Z     ,KTNA2,24,659.03,345.3,,187.875,,,,,,,0,12/09/2018,Action flooding,Ketchikan creek at 5th most overflow,KTNA2,AHPS,,,
20181014_12Z,PAJN,24,746.85,411.98,0.58,218.25,,1,1,1,1,2,3,10/15/2018,"Flood stage, local flooding","Jordan creek at 8th highest crest, Jordan's Square's front and back parking lot flooded with foot of water, residential driveways were flooded, water under home in Auke Bay",PAJN,"APRFC, AHPS",15th had the 17th highest precip,,
20181014_12Z,JNNA2,24,741.25,413.13,,218.71,,,,,,,3,10/15/2018,Flood stage,"Jordan creek at 8th highes crest; flooding in yards and lots; minor rainfall inundated some of Jordan Square’s front and back parking lots with up to a foot of water, some residential driveways were flooded, water under home in Auke Bay; Montana creek at 26th highest crest",JNNA2,"APRFC, HYDRO, AHPS",followed another on the 11,,
20181014_12Z     ,PAGS,24,785.11,426.62,,217.085,,,,,,,3,10/15/2018,Moderate floods stage,"Salmon river at 2nd highest crest; minor rainfall, Gustavus, heavy rain caused foot of water to cover rink creek rd and wilson rd , flooding on wilson road and washout on road at intersection of gravel pit road, some people stuck in homes, according to DOT this happens all the time during good rain events",PAGS,AHPS; APRFC,,NA,
20181014_12Z,PAGY,24,763.3,460.05,,216.615,,1,1,1,1,1,1,10/15/2018,Flood stage,Taiya at 36th highest crest,PAGY,AHPS,,,
,HOOA2,,,,,,,,,,,,0,10/15/2018,"Nothing recorded in Hoonah, only GUstavus and juneau","Nothing recorded in Hoonah, only Gustavus and juneau which had impacts",HOOA2,,,,
,PAGY,,,,,,,NA,NA,NA,NA,NA,2,09/27/2018,Moderate flood stage,"Taiya at its 15th highest crest, flood knee deep or higher in places, suspesion of water activities on taiya, chilkoot trail flooded",PAGY,"AHPS, NWS",,,
,AHNA2,,,,,,,,,,,,0,09/12/2018,Action stage,Chilkat at 4th highest crest,AHNA2,AHPS,,,
,HCSA2,,,,,,,,,,,,0,09/10/2018,Action stage,Chilkat at 4th highest crest,HCSA2,AHPS,,NA,
,PAHN,,,,,,,1,1,NA,NA,NA,0,09/10/2018,Action stage,Chilkat at 4th highest crest,PAHN,AHPS,,,
20170822_12Z,KTNA2,48,2028.03,759.37,4.43,213.03,<1,,,,,,2,08/22/2018,Flooding,"Minor flooding of ward lake ,river. Water into picnic and campgrounds and over trails. Minor flooding along tongass highway near shoreline drive and near cemetary ride. One week closure at ward lake campground for repairs, flooded basements",KTNA2,"ARDAT, APRFC",8/20/2017-08/22/2018,,
20140815_12Z,PAGY,48,1541.33,437.05,0.46,196.515,<1,1,1,1,NA,1,1,08/14/2018,Flood stage,Taiya at 38th highest crest,PAGY,AHPS,,,
